Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","4","Algeria","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","5588731","Fc","Calculated data"
"TI","Trade Indices","4","Algeria","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","470306","Fc","Calculated data"
"TI","Trade Indices","4","Algeria","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","72","Fc","Calculated data"
"TI","Trade Indices","4","Algeria","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","4811521","Fc","Calculated data"
"TI","Trade Indices","4","Algeria","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","455633","Fc","Calculated data"
"TI","Trade Indices","4","Algeria","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","74","Fc","Calculated data"
"TI","Trade Indices","5","American Samoa","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","11234","Fc","Calculated data"
"TI","Trade Indices","5","American Samoa","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","7782","Fc","Calculated data"
"TI","Trade Indices","7","Angola","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","1874225","Fc","Calculated data"
"TI","Trade Indices","7","Angola","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","18998","Fc","Calculated data"
"TI","Trade Indices","7","Angola","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","162","Fc","Calculated data"
"TI","Trade Indices","7","Angola","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","1600587","Fc","Calculated data"
"TI","Trade Indices","7","Angola","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","16109","Fc","Calculated data"
"TI","Trade Indices","7","Angola","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","188","Fc","Calculated data"
"TI","Trade Indices","8","Antigua and Barbuda","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","63477","Fc","Calculated data"
"TI","Trade Indices","8","Antigua and Barbuda","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","417","Fc","Calculated data"
"TI","Trade Indices","8","Antigua and Barbuda","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","83","Fc","Calculated data"
"TI","Trade Indices","8","Antigua and Barbuda","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","48971","Fc","Calculated data"
"TI","Trade Indices","8","Antigua and Barbuda","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","241","Fc","Calculated data"
"TI","Trade Indices","8","Antigua and Barbuda","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","68","Fc","Calculated data"
"TI","Trade Indices","9","Argentina","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","513851","Fc","Calculated data"
"TI","Trade Indices","9","Argentina","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","18963750","Fc","Calculated data"
"TI","Trade Indices","9","Argentina","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","202","Fc","Calculated data"
"TI","Trade Indices","9","Argentina","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","320094","Fc","Calculated data"
"TI","Trade Indices","9","Argentina","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","13680909","Fc","Calculated data"
"TI","Trade Indices","9","Argentina","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","184","Fc","Calculated data"
"TI","Trade Indices","1","Armenia","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","336845","Fc","Calculated data"
"TI","Trade Indices","1","Armenia","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","52297","Fc","Calculated data"
"TI","Trade Indices","1","Armenia","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","260","Fc","Calculated data"
"TI","Trade Indices","1","Armenia","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","233052","Fc","Calculated data"
"TI","Trade Indices","1","Armenia","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","30883","Fc","Calculated data"
"TI","Trade Indices","1","Armenia","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","181","Fc","Calculated data"
"TI","Trade Indices","22","Aruba","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","149685","Fc","Calculated data"
"TI","Trade Indices","22","Aruba","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","1817","Fc","Calculated data"
"TI","Trade Indices","22","Aruba","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","298","Fc","Calculated data"
"TI","Trade Indices","22","Aruba","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","106270","Fc","Calculated data"
"TI","Trade Indices","22","Aruba","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","815","Fc","Calculated data"
"TI","Trade Indices","22","Aruba","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","365","Fc","Calculated data"
"TI","Trade Indices","10","Australia","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","6742733","Fc","Calculated data"
"TI","Trade Indices","10","Australia","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","24157504","Fc","Calculated data"
"TI","Trade Indices","10","Australia","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","149","Fc","Calculated data"
"TI","Trade Indices","10","Australia","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","4270691","Fc","Calculated data"
"TI","Trade Indices","10","Australia","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","17040871","Fc","Calculated data"
"TI","Trade Indices","10","Australia","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","158","Fc","Calculated data"
"TI","Trade Indices","11","Austria","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","8680570","Fc","Calculated data"
"TI","Trade Indices","11","Austria","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","7012261","Fc","Calculated data"
"TI","Trade Indices","11","Austria","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","127","Fc","Calculated data"
"TI","Trade Indices","11","Austria","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","7173787","Fc","Calculated data"
"TI","Trade Indices","11","Austria","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","5363409","Fc","Calculated data"
"TI","Trade Indices","11","Austria","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","140","Fc","Calculated data"
"TI","Trade Indices","52","Azerbaijan","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","697534","Fc","Calculated data"
"TI","Trade Indices","52","Azerbaijan","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","393012","Fc","Calculated data"
"TI","Trade Indices","52","Azerbaijan","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","195","Fc","Calculated data"
"TI","Trade Indices","52","Azerbaijan","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","551437","Fc","Calculated data"
"TI","Trade Indices","52","Azerbaijan","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","313786","Fc","Calculated data"
"TI","Trade Indices","52","Azerbaijan","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","201","Fc","Calculated data"
"TI","Trade Indices","12","Bahamas","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","298838","Fc","Calculated data"
"TI","Trade Indices","12","Bahamas","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","349","Fc","Calculated data"
"TI","Trade Indices","12","Bahamas","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","360","Fc","Calculated data"
"TI","Trade Indices","12","Bahamas","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","269141","Fc","Calculated data"
"TI","Trade Indices","12","Bahamas","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","17","Fc","Calculated data"
"TI","Trade Indices","12","Bahamas","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","1026","Fc","Calculated data"
"TI","Trade Indices","16","Bangladesh","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","3652577","Fc","Calculated data"
"TI","Trade Indices","16","Bangladesh","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","202437","Fc","Calculated data"
"TI","Trade Indices","16","Bangladesh","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","174","Fc","Calculated data"
"TI","Trade Indices","16","Bangladesh","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","2644710","Fc","Calculated data"
"TI","Trade Indices","16","Bangladesh","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","174804","Fc","Calculated data"
"TI","Trade Indices","16","Bangladesh","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","77","Fc","Calculated data"
"TI","Trade Indices","14","Barbados","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","154921","Fc","Calculated data"
"TI","Trade Indices","14","Barbados","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","29776","Fc","Calculated data"
"TI","Trade Indices","14","Barbados","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","152","Fc","Calculated data"
"TI","Trade Indices","14","Barbados","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","119992","Fc","Calculated data"
"TI","Trade Indices","14","Barbados","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","28504","Fc","Calculated data"
"TI","Trade Indices","14","Barbados","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","146","Fc","Calculated data"
"TI","Trade Indices","57","Belarus","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","1560049","Fc","Calculated data"
"TI","Trade Indices","57","Belarus","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","2859377","Fc","Calculated data"
"TI","Trade Indices","57","Belarus","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","169","Fc","Calculated data"
"TI","Trade Indices","57","Belarus","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","790302","Fc","Calculated data"
"TI","Trade Indices","57","Belarus","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","2554128","Fc","Calculated data"
"TI","Trade Indices","57","Belarus","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","179","Fc","Calculated data"
"TI","Trade Indices","23","Belize","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","58910","Fc","Calculated data"
"TI","Trade Indices","23","Belize","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","178527","Fc","Calculated data"
"TI","Trade Indices","23","Belize","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","109","Fc","Calculated data"
"TI","Trade Indices","23","Belize","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","45333","Fc","Calculated data"
"TI","Trade Indices","23","Belize","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","151326","Fc","Calculated data"
"TI","Trade Indices","23","Belize","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","118","Fc","Calculated data"
"TI","Trade Indices","53","Benin","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","919857","Fc","Calculated data"
"TI","Trade Indices","53","Benin","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","390793","Fc","Calculated data"
"TI","Trade Indices","53","Benin","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","97","Fc","Calculated data"
"TI","Trade Indices","53","Benin","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","843065","Fc","Calculated data"
"TI","Trade Indices","53","Benin","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","163381","Fc","Calculated data"
"TI","Trade Indices","53","Benin","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","90","Fc","Calculated data"
"TI","Trade Indices","17","Bermuda","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","140311","Fc","Calculated data"
"TI","Trade Indices","17","Bermuda","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","115980","Fc","Calculated data"
"TI","Trade Indices","19","Bolivia (Plurinational State of)","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","194473","Fc","Calculated data"
"TI","Trade Indices","19","Bolivia (Plurinational State of)","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","983827","Fc","Calculated data"
"TI","Trade Indices","19","Bolivia (Plurinational State of)","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","193","Fc","Calculated data"
"TI","Trade Indices","19","Bolivia (Plurinational State of)","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","160442","Fc","Calculated data"
"TI","Trade Indices","19","Bolivia (Plurinational State of)","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","769966","Fc","Calculated data"
"TI","Trade Indices","19","Bolivia (Plurinational State of)","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","161","Fc","Calculated data"
"TI","Trade Indices","20","Botswana","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","551299","Fc","Calculated data"
"TI","Trade Indices","20","Botswana","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","165118","Fc","Calculated data"
"TI","Trade Indices","20","Botswana","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","110","Fc","Calculated data"
"TI","Trade Indices","20","Botswana","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","451999","Fc","Calculated data"
"TI","Trade Indices","20","Botswana","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","140393","Fc","Calculated data"
"TI","Trade Indices","20","Botswana","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","116","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","4794881","Fc","Calculated data"
"TI","Trade Indices","21","Brazil","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","53289258","Fc","Calculated data"
